ATTRIBUTE,VALENCE
Absentminded,Neutral
Aggressive,Neutral
Ambitious,Neutral
Amusing,Neutral
Artful,Neutral
Ascetic,Neutral
Authoritarian,Neutral
Big-thinking,Neutral
Boyish,Neutral
Breezy,Neutral
Businesslike,Neutral
Busy,Neutral
Casual,Neutral
Crebral,Neutral
Chummy,Neutral
Circumspect,Neutral
Competitive,Neutral
Complex,Neutral
Confidential,Neutral
Conservative,Neutral
Contradictory,Neutral
Crisp,Neutral
Cute,Neutral
Deceptive,Neutral
Determined,Neutral
Dominating,Neutral
Dreamy,Neutral
Driving,Neutral
Droll,Neutral
Dry,Neutral
Earthy,Neutral
Effeminate,Neutral
Emotional,Neutral
Enigmatic,Neutral
Familial,Neutral
Folksy,Neutral
Formal,Neutral
Freewheeling,Neutral
Frugal,Neutral
Glamorous,Neutral
Guileless,Neutral
Huried,Neutral
Hypnotic,Neutral
Iconoclastic,Neutral
Idiosyncratic,Neutral
Impassive,Neutral
Impersonal,Neutral
Impressionable,Neutral
Intense,Neutral
Irreligious,Neutral
Irreverent,Neutral
Maternal,Neutral
Mellow,Neutral
Modern,Neutral
Moralistic,Neutral
Mystical,Neutral
Neutral,Neutral
Noncommittal,Neutral
Noncompetitive,Neutral
Obedient,Neutral
Old-fashined,Neutral
Ordinary,Neutral
Outspoken,Neutral
Paternalistic,Neutral
Physical,Neutral
Placid,Neutral
Political,Neutral
Preoccupied,Neutral
Private,Neutral
Progressive,Neutral
Proud,Neutral
Pure,Neutral
Questioning,Neutral
Quiet,Neutral
Religious,Neutral
Restrained,Neutral
Retiring,Neutral
Sarcastic,Neutral
Self-conscious,Neutral
Sensual,Neutral
Smooth,Neutral
Soft,Neutral
Solemn,Neutral
Solitary,Neutral
Stern,Neutral
Stoiid,Neutral
Strict,Neutral
Stubborn,Neutral
Stylish,Neutral
Subjective,Neutral
Surprising,Neutral
Tough,Neutral
Unaggressive,Neutral
Unambitious,Neutral
Unceremonious,Neutral
Unchanging,Neutral
Undemanding,Neutral
Unfathomable,Neutral
Unhurried,Neutral
Uninhibited,Neutral
Unpatriotic,Neutral
Unpredicatable,Neutral
Unreligious,Neutral
Unsentimental,Neutral
Whimsical,Neutral
Abrasive,Negative
Antagonistic,Negative
Apathetic,Negative
Arrogant,Negative
Belligerent,Negative
Bitter,Negative
Blameful,Negative
Boastful,Negative
Callous,Negative
Careless,Negative
Chaotic,Negative
Clingy,Negative
Combative,Negative
Compulsive,Negative
Condemning,Negative
Conniving,Negative
Controlling,Negative
Corrosive,Negative
Cowardly,Negative
Critical,Negative
Cruel,Negative
Cynical,Negative
Degrading,Negative
Demanding,Negative
Despondent,Negative
Detrimental,Negative
Difficult,Negative
Disingenuous,Negative
Disorderly,Negative
Displeased,Negative
Distrustful,Negative
Domineering,Negative
Dramatic (negative),Negative
Erratic,Negative
Exploitative,Negative
Fanatical,Negative
Ferocious,Negative
Flagrant,Negative
Flighty,Negative
Forsaken,Negative
Grating,Negative
Grim,Negative
Harsh,Negative
Hypocritical,Negative
Ignorant,Negative
Impulsive,Negative
Indifferent,Negative
Indignant,Negative
Infuriating,Negative
Invasive,Negative
Jealous,Negative
Malcontent,Negative
Manipulative,Negative
Menacing,Negative
Merciless,Negative
Messy,Negative
Moody,Negative
Needy,Negative
Noxious,Negative
Oppressive,Negative
Panicky,Negative
Paranoid,Negative
Pessimistic,Negative
Precarious,Negative
Reckless,Negative
Resistant,Negative
Rude,Negative
Ruthless,Negative
Scattered,Negative
Scheming,Negative
Severe,Negative
Smug,Negative
Spiteful,Negative
Tactless,Negative
Tense,Negative
Unstable,Negative
Vengeful,Negative
Volatile,Negative
Weak-minded,Negative
Withdrawn,Negative
Sweet,Positive
Youthful,Positive
Popular,Positive
Neat,Positive
Selfless,Positive
Reflective,Positive
Decisive,Positive
Protective,Positive
Sophisticated,Positive
Dynamic,Positive
Elegant,Positive
Freethinking,Positive
Cultured,Positive
Tasteful,Positive
Responsive,Positive
Adventurous,Positive
Dignified,Positive
Cool,Positive
Stable,Positive
Precise,Positive
Personable,Positive
Alert,Positive
Disciplined,Positive
Realistic,Positive
Trusting,Positive
Tolerant,Positive
Original,Positive
Active,Positive
Purposeful,Positive
Gracious,Positive
Intuitive,Positive
Relaxed,Positive
Secure,Positive
Fun-loving,Positive
Captivating,Positive
Nice,Positive
Heroic,Positive
Diligent,Positive
Peaceful,Positive
Charming,Positive
Easy-going,Positive
Charismatic,Positive
Exciting,Positive
Innovative,Positive
Rational,Positive
Sharing,Positive
Insightful,Positive
Observant,Positive
Perceptive,Positive
Logical,Positive
Self-sufficient,Positive
Imaginative,Positive
Patient,Positive
Clear-headed,Positive
Well-read,Positive
Self-reliant,Positive
Cheerful,Positive
Extraordinary,Positive
Organised,Positive
Empathetic,Positive
Enthusiastic,Positive
Fair,Positive
Impressive,Positive
Resourceful,Positive
Faithful,Positive
Attractive,Positive
Educated,Positive
Strong,Positive
Open-minded,Positive
Authentic,Positive
Honourable,Positive
Generous,Positive
Wise,Positive
Respectful,Positive
Good-natured,Positive
Skillful,Positive
Lovable,Positive
Caring,Positive
Understanding,Positive
Smart,Positive
Loving,Positive
Approachable,Positive
Knowledgeable,Positive
Brilliant,Positive
Hardworking,Positive
Intelligent,Positive
Genuine,Positive
Honest,Positive
Unlovable,Negative
Criminal,Negative
Monstrous,Negative
Fraudulent,Negative
Hateful,Negative
Predatory,Negative
Malicious,Negative
Stupid,Negative
Sadistic,Negative
Dirty,Negative
Venomous,Negative
Unlikeable,Negative
Deceitful,Negative
Neglectful,Negative
FALSE,Negative
Disloyal,Negative
Heartless,Negative
Uncaring,Negative
Vindictive,Negative
Ungrateful,Negative
Treacherous,Negative
Selfish,Negative
Destructive,Negative
Disrespectful,Negative
Desperate,Negative
Irresponsible,Negative
Shallow,Negative
Insulting,Negative
Unprincipled,Negative
Prejudiced,Negative
Perverse,Negative
Artificial,Negative
Unimpressive,Negative
Frightening,Negative
Dull,Negative
Intolerant,Negative
Discouraging,Negative
Uncooperative,Negative
Insensitive,Negative
Pompous,Negative
Slow,Negative
One-dimensional,Negative
Superficial,Negative
Undisciplined,Negative
Ridiculous,Negative
Gloomy,Negative
Bland,Negative
Unimaginative,Negative
Sneaky,Negative
Petty,Negative
Neurotic,Negative
Crass,Negative
Pretentious,Negative
Envious,Negative
Repressed,Negative
Egocentric,Negative
Meddlesome,Negative
Impractical,Negative
Dismissive,Negative
Misguided,Negative
Naive,Negative
Unconvincing,Negative
Uncreative,Negative
Aimless,Negative
Unreflective,Negative
Insecure,Negative
Disorganised,Negative
Short-sighted,Negative
Obsessive,Negative
Unpolished,Negative
Unrealistic,Negative
Easily discouraged,Negative
Disobedient,Negative
Submissive,Negative
Presumptuous,Negative
Rowdy,Negative
Abrupt,Negative
Vulnerable,Negative
Mistaken,Negative
Rigid,Negative
Simple,Negative
Accessible,Positive
Agreeable,Positive
Allocentric,Positive
Amiable,Positive
Anticipative,Positive
Aspiring,Positive
Athletic,Positive
Balanced,Positive
Benevolent,Positive
Challenging,Positive
Companionly,Positive
Conciliatory,Positive
Constant,Positive
Contemplative,Positive
Curious,Positive
Daring,Positive
Debonair,Positive
Decent,Positive
Deep,Positive
Directed,Positive
Discreet,Positive
Dramatic,Positive
Dutiful,Positive
Earnest,Positive
Ebullient,Positive
Esthetic,Positive
Farsighted,Positive
Felicific,Positive
Firm,Positive
Forecful,Positive
Forthright,Positive
Herioc,Positive
High-minded,Positive
Honorable,Positive
Humorous,Positive
Idealistic,Positive
Incisive,Positive
Incorruptible,Positive
Individualistic,Positive
Inoffensive,Positive
Insouciant,Positive
Invulnerable,Positive
Knowledge,Positive
Leaderly,Positive
Liberal,Positive
Lyrical,Positive
Magnanimous,Positive
Many-sided,Positive
Masculine (Manly),Positive
Maticulous,Positive
Moderate,Positive
Modest,Positive
Multi-leveled,Positive
Nonauthoritarian,Positive
Objective,Positive
Orderly,Positive
Painstaking,Positive
Patriotic,Positive
Perfectionist,Positive
Persuasive,Positive
Planful,Positive
Playful,Positive
Polished,Positive
Profound,Positive
Protean,Positive
Providential,Positive
Prudent,Positive
Pruposeful,Positive
Reverential,Positive
Rustic,Positive
Sage,Positive
Scholarly,Positive
Scrupulous,Positive
Self-critical,Positive
Self-defacing,Positive
Self-denying,Positive
Self-sufficent,Positive
Sensitive,Positive
Sentimental,Positive
Seraphic,Positive
Serious,Positive
Sexy,Positive
Shrewd,Positive
Sober,Positive
Solid,Positive
Spontaneous,Positive
Sporting,Positive
Steadfast,Positive
Steady,Positive
Studious,Positive
Suave,Positive
Subtle,Positive
Systematic,Positive
Teacherly,Positive
Tractable,Positive
Uncomplaining,Positive
Undogmatic,Positive
Unfoolable,Positive
Urbane,Positive
Venturesome,Positive
Vivacious,Positive
Well-bred,Positive
Well-rounded,Positive
Winning,Positive
Even-tempered,Neutral
Reservedly Warm,Neutral
Subdued,Neutral
Steady-paced,Neutral
Mild,Neutral
Temperate,Neutral
Easy-tempered,Neutral
Soft-spoken,Neutral
Level-headed,Neutral
Undramatic,Neutral
Unflappable,Neutral
Bold,Positive
Deliberate,Neutral
Even-keeled,Neutral
